time,probe_a,probe_b
2.0000000e-03, 1.2348557e-01, 1.6572762e-01
4.0000000e-03, 1.2625790e-01, 1.7217350e-01
6.0000000e-03, 1.4350319e-01, 1.9427109e-01
8.0000000e-03, 1.4565849e-01, 1.9519138e-01
1.0000000e-02, 1.5582085e-01, 2.0409107e-01
1.2000000e-02, 1.7645359e-01, 2.2311974e-01
1.4000000e-02, 1.7984104e-01, 2.2987175e-01
1.6000000e-02, 2.0293713e-01, 2.5012779e-01
1.8000000e-02, 2.2295380e-01, 2.6946259e-01
2.0000000e-02, 2.4050617e-01, 2.8818321e-01
2.2000000e-02, 2.7284145e-01, 3.2224941e-01
2.4000000e-02, 2.9655266e-01, 3.4649467e-01
2.6000000e-02, 3.3504677e-01, 3.8301659e-01
2.8000000e-02, 3.5875893e-01, 4.0726185e-01
3.0000000e-02, 3.9078617e-01, 4.4224930e-01
3.2000000e-02, 4.1572952e-01, 4.6925640e-01
3.4000000e-02, 4.4590759e-01, 4.9687862e-01
3.6000000e-02, 4.6561718e-01, 5.1774788e-01
3.8000000e-02, 4.9363995e-01, 5.3892422e-01
4.0000000e-02, 5.1396465e-01, 5.5979443e-01
4.2000000e-02, 5.2505112e-01, 5.7176304e-01
4.4000000e-02, 5.3829288e-01, 5.8925629e-01
4.6000000e-02, 5.4599094e-01, 6.0521603e-01
4.8000000e-02, 5.5184174e-01, 6.1902714e-01
5.0000000e-02, 5.5769348e-01, 6.3621330e-01
5.2000000e-02, 5.5245781e-01, 6.4173794e-01
5.4000000e-02, 5.4506779e-01, 6.4388561e-01
5.6000000e-02, 5.5061054e-01, 6.5708256e-01
5.8000000e-02, 5.4506779e-01, 6.5462685e-01
6.0000000e-02, 5.4783916e-01, 6.5830994e-01
6.2000000e-02, 5.3952408e-01, 6.5585518e-01
6.4000000e-02, 5.3644466e-01, 6.5524101e-01
6.6000000e-02, 5.2659035e-01, 6.4480686e-01
6.8000000e-02, 5.1735210e-01, 6.3559914e-01
7.0000000e-02, 5.0903797e-01, 6.2301636e-01
7.2000000e-02, 5.0195408e-01, 6.0797882e-01
7.4000000e-02, 5.0934601e-01, 6.0184002e-01
7.6000000e-02, 5.1242542e-01, 5.8680153e-01
7.8000000e-02, 5.1642895e-01, 5.7636642e-01
8.0000000e-02, 5.2936268e-01, 5.7483196e-01
8.2000000e-02, 5.3860092e-01, 5.6992149e-01
8.4000000e-02, 5.4506779e-01, 5.6409073e-01
8.6000000e-02, 5.4876232e-01, 5.6194210e-01
8.8000000e-02, 5.5368996e-01, 5.5519104e-01
9.0000000e-02, 5.5553722e-01, 5.4935932e-01
9.2000000e-02, 5.6107998e-01, 5.4751873e-01
9.4000000e-02, 5.6169605e-01, 5.3831005e-01
9.6000000e-02, 5.7062626e-01, 5.4168701e-01
9.8000000e-02, 5.7740211e-01, 5.3892422e-01
1.0000000e-01, 5.8294582e-01, 5.3677559e-01
1.0200000e-01, 5.9403133e-01, 5.4721165e-01
1.0400000e-01, 5.8540916e-01, 5.4199409e-01
1.0600000e-01, 5.9803486e-01, 5.5825996e-01
1.0800000e-01, 5.9464741e-01, 5.6439781e-01
1.1000000e-01, 5.9433937e-01, 5.7360458e-01
1.1200000e-01, 5.9618664e-01, 5.8925629e-01
1.1400000e-01, 5.9125996e-01, 5.9846401e-01
1.1600000e-01, 5.8664036e-01, 6.0368061e-01
1.1800000e-01, 5.9125996e-01, 6.1810589e-01
1.2000000e-01, 5.8571720e-01, 6.2240314e-01
1.2200000e-01, 5.9310722e-01, 6.3498592e-01
1.2400000e-01, 5.6816292e-01, 6.1902714e-01
1.2600000e-01, 5.8910465e-01, 6.4143085e-01
1.2800000e-01, 5.6231213e-01, 6.1902714e-01
1.3000000e-01, 5.7155132e-01, 6.2915421e-01
1.3200000e-01, 5.6354427e-01, 6.2332344e-01
1.3400000e-01, 5.5830860e-01, 6.1841297e-01
1.3600000e-01, 5.5153370e-01, 6.0705757e-01
1.3800000e-01, 5.4937840e-01, 6.0337448e-01
1.4000000e-01, 5.3706074e-01, 5.9600830e-01
1.4200000e-01, 5.2843857e-01, 5.9723568e-01
1.4400000e-01, 5.1334953e-01, 5.9201908e-01
1.4600000e-01, 5.0503349e-01, 5.9324646e-01
1.4800000e-01, 4.8409367e-01, 5.8219814e-01
1.5000000e-01, 4.7701073e-01, 5.8373260e-01
1.5200000e-01, 4.5884228e-01, 5.6992149e-01
1.5400000e-01, 4.4252014e-01, 5.6010151e-01
1.5600000e-01, 4.3297386e-01, 5.5304241e-01
1.5800000e-01, 4.1018581e-01, 5.4015160e-01
1.6000000e-01, 3.9602089e-01, 5.2726173e-01
1.6200000e-01, 3.8123894e-01, 5.2357864e-01
1.6400000e-01, 3.5044384e-01, 5.0056171e-01
1.6600000e-01, 3.3997440e-01, 4.9657154e-01
1.6800000e-01, 3.0425167e-01, 4.7079182e-01
1.7000000e-01, 2.8947067e-01, 4.5882225e-01
1.7200000e-01, 2.7037811e-01, 4.4286346e-01
1.7400000e-01, 2.6329517e-01, 4.2997360e-01
