time,probe_a,probe_b
3.9978027e-03,-5.7949996e-01,-4.9287999e-01
8.0032349e-03,-6.6245997e-01,-6.3927996e-01
1.2001038e-02,-1.7690000e-01,-8.1983995e-01
1.5998840e-02, 2.2569999e-01,-5.7949996e-01
1.9996643e-02, 4.0015998e-01,-1.4396000e-01
2.4002075e-02, 5.9413999e-01, 2.0252000e-01
2.7999878e-02, 6.0633999e-01, 3.4891999e-01
3.1997681e-02, 6.4903998e-01, 6.3683999e-01
3.6003113e-02, 5.8194000e-01, 6.6733998e-01
4.0000916e-02, 5.9047997e-01, 6.2952000e-01
4.3998718e-02, 5.4167998e-01, 5.8560002e-01
4.7996521e-02, 1.8787999e-01, 6.0267997e-01
5.2001953e-02, 1.2932000e-01, 4.9653998e-01
5.5999756e-02,-1.2200000e-02, 2.9157999e-01
5.9997559e-02,-1.8055999e-01, 2.1959999e-01
6.4002991e-02,-2.3789999e-01, 6.7099996e-02
6.8000793e-02,-3.8918000e-01,-1.1346000e-01
7.1998596e-02,-4.6603999e-01,-1.9275999e-01
7.5996399e-02,-7.0515996e-01,-4.4773999e-01
8.0001831e-02,-7.1980000e-01,-6.5391999e-01
8.3999634e-02,-6.2585998e-01,-6.2097996e-01
8.7997437e-02,-6.7343998e-01,-4.9043998e-01
9.2002869e-02,-5.2094001e-01,-7.0393997e-01
9.6000671e-02,-3.5257998e-01,-6.9661999e-01
9.9998474e-02, 7.3199999e-03,-5.2215999e-01
1.0399628e-01, 5.0019997e-01,-4.5139998e-01
1.0800171e-01, 7.0760000e-01, 1.9032000e-01
1.1199951e-01, 6.9173998e-01, 4.1479999e-01
1.1599731e-01, 5.7339996e-01, 5.5022001e-01
1.2000275e-01, 6.7710000e-01, 5.7949996e-01
1.2400055e-01, 5.9170002e-01, 8.1739998e-01
1.2799835e-01, 5.7827997e-01, 8.0397999e-01
1.3200378e-01, 2.3424000e-01, 6.3073999e-01
1.3600159e-01, 1.9032000e-01, 4.3553999e-01
1.3999939e-01,-1.4640000e-02, 2.9157999e-01
1.4399719e-01,-2.3301999e-01, 1.0004000e-01
1.4800262e-01,-3.4160000e-01, 6.5880001e-02
1.5200043e-01,-4.7213998e-01,-1.4274000e-01
1.5599823e-01,-6.5635997e-01,-4.4285998e-01
1.6000366e-01,-6.3440001e-01,-5.6729996e-01
1.6400146e-01,-5.6607997e-01,-4.9043998e-01
1.6799927e-01,-5.1117998e-01,-5.3924000e-01
1.7199707e-01,-7.2468001e-01,-5.2947998e-01
1.7600250e-01,-5.5265999e-01,-5.8803999e-01
1.8000031e-01,-2.8547999e-01,-6.9173998e-01
1.8399811e-01, 1.2199999e-01,-5.8437997e-01
1.8800354e-01, 5.2215999e-01,-2.4643999e-01
1.9200134e-01, 6.6367996e-01, 1.8422000e-01
1.9599915e-01, 7.9056001e-01, 4.9531999e-01
1.9999695e-01, 6.1243999e-01, 6.8685997e-01
2.0400238e-01, 5.1362002e-01, 7.0150000e-01
2.0800018e-01, 5.5997998e-01, 6.4537996e-01
2.1199799e-01, 3.8308001e-01, 6.0145998e-01
2.1600342e-01, 3.2573998e-01, 5.7949996e-01
2.2000122e-01, 1.6835999e-01, 5.0507998e-01
2.2399902e-01, 1.3541999e-01, 2.7083999e-01
2.2799683e-01,-5.0019998e-02, 2.9767999e-01
2.3200226e-01,-2.4278000e-01, 1.6591999e-01
2.3600006e-01,-3.9771998e-01,-1.5859999e-02
2.3999786e-01,-5.1727998e-01,-2.3911999e-01
2.4400330e-01,-6.0145998e-01,-4.4773999e-01
2.4800110e-01,-5.5387998e-01,-4.6359998e-01
2.5199890e-01,-5.4655999e-01,-4.5627999e-01
2.5599670e-01,-6.9418001e-01,-4.6482000e-01
2.6000214e-01,-6.7343998e-01,-6.2952000e-01
2.6399994e-01,-4.5872000e-01,-7.1735996e-01
2.6799774e-01,-1.3054000e-01,-5.9292001e-01
2.7200317e-01, 3.4281999e-01,-5.3924000e-01
2.7600098e-01, 5.9780002e-01,-1.4518000e-01
2.7999878e-01, 7.0881999e-01, 5.0386000e-01
2.8399658e-01, 7.5029999e-01, 5.3557998e-01
2.8800201e-01, 7.2589999e-01, 6.8808001e-01
2.9199982e-01, 6.5147996e-01, 7.0393997e-01
2.9599762e-01, 4.5993999e-01, 7.3321998e-01
3.0000305e-01, 2.4278000e-01, 7.3688000e-01
3.0400085e-01, 2.0984000e-01, 4.0015998e-01
3.0799866e-01, 1.8910000e-01, 2.9767999e-01
3.1199646e-01,-1.9520000e-02, 3.2817999e-01
3.1600189e-01,-2.6352000e-01, 2.3911999e-01
3.1999969e-01,-3.5135999e-01,-1.0980000e-01
3.2399750e-01,-5.5997998e-01,-3.3427998e-01
3.2800293e-01,-5.9292001e-01,-3.6965999e-01
3.3200073e-01,-8.0763996e-01,-5.4655999e-01
3.3599854e-01,-7.0638001e-01,-6.1487997e-01
3.3999634e-01,-7.5761998e-01,-5.8560002e-01
3.4400177e-01,-6.3195997e-01,-7.2101998e-01
3.4799957e-01,-3.1963998e-01,-7.3321998e-01
3.5199738e-01,-1.4884000e-01,-5.9902000e-01
3.5600281e-01, 3.6844000e-01,-3.1841999e-01
3.6000061e-01, 6.2342000e-01,-9.3939997e-02
3.6399841e-01, 6.8441999e-01, 2.8792000e-01
3.6799622e-01, 8.4667999e-01, 6.2097996e-01
3.7200165e-01, 7.6738000e-01, 7.1248001e-01
3.7599945e-01, 5.1484001e-01, 6.6978002e-01
3.7999725e-01, 3.3183998e-01, 6.6123998e-01
3.8400269e-01, 3.5501999e-01, 6.0633999e-01
3.8800049e-01, 2.7449998e-01, 4.9287999e-01
3.9199829e-01, 1.8910000e-01, 4.1479999e-01
3.9600372e-01, 5.3679999e-02, 3.4770000e-01
4.0000153e-01,-6.9540001e-02, 3.2696000e-01
4.0399933e-01,-2.1349999e-01, 9.2720002e-02
4.0799713e-01,-6.1365998e-01,-2.1227999e-01
4.1200256e-01,-5.5632001e-01,-3.3427998e-01
4.1600037e-01,-5.2094001e-01,-3.6600000e-01
4.1999817e-01,-5.3557998e-01,-5.0629997e-01
4.2400360e-01,-7.1003997e-01,-5.7462001e-01
4.2800140e-01,-7.8811997e-01,-7.2345996e-01
4.3199921e-01,-4.8556000e-01,-6.8685997e-01
4.3599701e-01,-3.2330000e-01,-7.6128000e-01
4.4000244e-01,-9.7599998e-03,-4.7457999e-01
4.4400024e-01, 5.3314000e-01,-2.4156000e-01
4.4799805e-01, 6.5513998e-01, 1.4396000e-01
